100000000,poly_A Site 0 SiteType L_a
100000001,poly_A Site 1 SiteType A
100000002,poly_A Site 2 SiteType L_a
100000003,poly_A Site 3 SiteType L_a
100000004,poly_A Site 4 SiteType A
100000005,poly_A Site 5 SiteType L_a
100000006,poly_A Site 6 SiteType L_a
100000007,poly_A Site 7 SiteType A
100000008,poly_A Site 8 SiteType L_a
100000009,poly_A Site 9 SiteType L_a
100000010,poly_A Site 10 SiteType A
100000011,poly_A Site 11 SiteType L_a
100000012,poly_A Site 12 SiteType L_a
100000013,poly_A Site 13 SiteType A
100000014,poly_A Site 14 SiteType L_a
100010000,poly_A Site 0 SiteType L_a
100010001,poly_A Site 1 SiteType A
100010002,poly_A Site 2 SiteType L_a
100010003,poly_A Site 3 SiteType L_a
100010004,poly_A Site 4 SiteType A
100010005,poly_A Site 5 SiteType L_a
100010006,poly_A Site 6 SiteType L_a
100010007,poly_A Site 7 SiteType A
100010008,poly_A Site 8 SiteType L_a
100010009,poly_A Site 9 SiteType L_a
100010010,poly_A Site 10 SiteType A
100010011,poly_A Site 11 SiteType L_a
100010012,poly_A Site 12 SiteType L_a
100010013,poly_A Site 13 SiteType A
100010014,poly_A Site 14 SiteType L_a
100020000,poly_A Site 0 SiteType L_a
100020001,poly_A Site 1 SiteType A
100020002,poly_A Site 2 SiteType L_a
100020003,poly_A Site 3 SiteType L_a
100020004,poly_A Site 4 SiteType A
100020005,poly_A Site 5 SiteType L_a
100020006,poly_A Site 6 SiteType L_a
100020007,poly_A Site 7 SiteType A
100020008,poly_A Site 8 SiteType L_a
100020009,poly_A Site 9 SiteType L_a
100020010,poly_A Site 10 SiteType A
100020011,poly_A Site 11 SiteType L_a
100020012,poly_A Site 12 SiteType L_a
100020013,poly_A Site 13 SiteType A
100020014,poly_A Site 14 SiteType L_a
100030000,poly_A Site 0 SiteType L_a
100030001,poly_A Site 1 SiteType A
100030002,poly_A Site 2 SiteType L_a
100030003,poly_A Site 3 SiteType L_a
